
nov. 14, 2018 09:43:08.49 [7948:8036:1114/094308.494:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:43:09.99 [7948:8036:1114/094309.996:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:43:15.69 [7948:8036:1114/094315.695:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:43:31.26 [7948:8036:1114/094331.266:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:43:34.56 [7948:8036:1114/094334.559:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:43:37.80 [7948:8036:1114/094337.805:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:43:53.37 [7948:8036:1114/094353.375:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:43:56.67 [7948:8036:1114/094356.669:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:43:59.91 [7948:8036:1114/094359.914:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:44:15.48 [7948:8036:1114/094415.484:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:44:18.77 [7948:8036:1114/094418.778:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:44:22.04 [7948:8036:1114/094422.040:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:44:37.62 [7948:8036:1114/094437.627:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:44:40.92 [7948:8036:1114/094440.922:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:44:44.28 [7948:8036:1114/094444.283:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:44:59.77 [7948:8036:1114/094459.769:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:45:05.47 [7948:8036:1114/094505.471:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:45:06.40 [7948:8036:1114/094506.408:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:45:21.89 [7948:8036:1114/094521.895:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:45:27.58 [7948:8036:1114/094527.580:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:45:42.42 [7948:8036:1114/094542.420:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:45:44.00 [7948:8036:1114/094544.003:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:45:49.70 [7948:8036:1114/094549.707:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:46:05.29 [7948:8036:1114/094605.295:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:46:08.58 [7948:8036:1114/094608.588:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:46:11.85 [7948:8036:1114/094611.849:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:46:27.43 [7948:8036:1114/094627.436:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:46:30.73 [7948:8036:1114/094630.732:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:46:33.99 [7948:8036:1114/094633.991:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:46:49.58 [7948:8036:1114/094649.579:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:46:52.87 [7948:8036:1114/094652.875:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:46:56.21 [7948:8036:1114/094656.218:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:47:11.70 [7948:8036:1114/094711.704:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:47:15.00 [7948:8036:1114/094715.000:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:47:18.32 [7948:8036:1114/094718.327:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:47:33.81 [7948:8036:1114/094733.815:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:47:39.53 [7948:8036:1114/094739.533:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:47:40.48 [7948:8036:1114/094740.486:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:47:55.97 [7948:8036:1114/094755.972:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:48:01.67 [7948:8036:1114/094801.675:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:48:17.24 [7948:8036:1114/094817.246:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:48:20.06 [7948:8036:1114/094820.061:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:48:23.78 [7948:8036:1114/094823.785:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:48:39.35 [7948:8036:1114/094839.356:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
